experiment_name,num_params,model_size_mb,avg_rtf,avg_generator_rtf,pesq,stoi,mel_l1
H2_128C_quantized_all,926393,1.137,0.0274,0.0268,1.248798485994339,0.8281723063906189,1.4425131278038026
H2_128C_quantized_no_output,926393,1.137,0.0281,0.0275,1.250069150686264,0.828181484599163,1.4415894584655762
H2_256C_quantized_all,3556057,3.688,0.0558,0.0552,1.3315025482177734,0.8278928998630927,1.3821325491666794
H2_256C_quantized_no_output,3556057,3.687,0.0577,0.0571,1.403834790945053,0.8337084579754473,1.313603424191475
H1_256C_baseline,3560706,13.66,0.2587,0.258,2.8153033604621887,0.9514502434084868,0.2548255115747452
H1_128C_baseline,928514,3.617,0.2455,0.2449,2.422547181606293,0.9332932215626575,0.30631368517875673
H2_128C_quantized_resblocks_range_2_9,926177,2.451,0.208,0.2074,1.2028516464233399,0.8143315785980733,1.5034245375394821
H2_128C_quantized_resblocks_range_2_9,926177,2.451,0.2089,0.2083,1.2002913796901702,0.8137576485755826,1.5070082547664643
H2_128C_quantized_resblocks_range_1_10,926225,1.979,0.2045,0.2039,1.1970363647937774,0.8129459662359331,1.5116396387815476
H2_128C_quantized_resblocks_range_2_9,926177,2.451,0.2088,0.2082,1.1941789853572846,0.8124729155466003,1.5146546392440796
H1_512C_baseline,13936130,53.239,0.309,0.3084,3.0446550407409667,0.9615097566937729,0.20602706068754195
H2_256C_quantized_resblocks_range_1_10,3555889,6.823,0.2038,0.2032,1.4029172253608704,0.8244203692702523,1.3238080587387084
H2_256C_quantized_resblocks_range_2_9,3555841,8.788,0.2096,0.2091,1.4011399405002594,0.8240603791034081,1.326848338663578
H2_128C_quantized_resblocks_range_1_10,926225,1.979,0.2043,0.2037,1.233943953037262,0.812092147585407,1.4621745157241821
H2_128C_quantized_resblocks_range_2_9,926177,2.451,0.2066,0.206,1.2418174378871918,0.8135288008443676,1.4491825736761093
H2_512C_quantized_all,13926425,13.661,0.1429,0.1423,1.4670904154777527,0.8821395996427472,0.9726626268625259
H2_128C_quantized_resblocks,926391,1.815,0.205,0.2044,1.285684029340744,0.820619787357574,1.3856060166358948
H2_512C_quantized_resblocks_range_1_10,13926257,25.579,0.2242,0.2236,1.47090283536911,0.8819401877329233,0.9742293065190315
H2_256C_quantized_resblocks,3556055,5.996,0.2036,0.203,1.5506962995529174,0.8360026141261679,1.2344839788079263
H2_512C_quantized_no_output,13926425,13.661,0.1487,0.1481,1.4572010083198548,0.8812692116216784,0.9844423063993454
H2_512C_quantized_resblocks_range_2_9,13926209,33.53,0.2412,0.2407,1.4265081033706666,0.8782486044538315,1.0088395430445671
H2_512C_quantized_resblocks,13926423,22.09,0.2127,0.2121,1.477115003824234,0.8800177469585476,0.9809544616937638
H2_128C_quantized_no_upsample,926393,1.613,0.2004,0.1999,1.4871823642253876,0.8474002896685144,1.1173571393489838
H2_256C_quantized_no_upsample,3556057,5.592,0.2063,0.2057,1.9630599975585938,0.865053689965824,0.9171476626396179
H2_512C_quantized_no_upsample,13926425,21.278,0.2123,0.2117,1.7214961400032043,0.8868169305602626,0.8862923964262008
H2_128C_quantized_resblocks_range_3_8,926129,3.2,0.2075,0.2069,1.8485677795410156,0.9040861746268654,0.6535083501338959
H3_128C_pruned30_Mask_pruning,925985,3.583,0.2471,0.2465,1.8905509634017945,0.9059549307861985,0.3718305775523186
H2_256C_quantized_resblocks_range_3_8,3555793,11.861,0.2115,0.2109,2.667206139087677,0.9451099263599096,0.3372950112223625
H3_256C_pruned30_Mask_pruning,3555649,13.616,0.2529,0.2523,2.31485831451416,0.9255047781008685,0.3253094381093979
H3_512C_pruned30_Mask_pruning,13926017,53.175,0.303,0.3024,2.4715935316085815,0.9359378552995626,0.30430851992964747
H2_512C_quantized_resblocks_range_3_8,13926161,45.91,0.2495,0.249,2.9626067345142366,0.9580554723302118,0.24027962335944175
H3_128C_pruned30_Physical_pruning,720029,2.797,0.239,0.2384,1.9645525021553039,0.9117882921337508,0.3776039537191391
H3_128C_pruned50_Mask_pruning,925985,3.583,0.244,0.2434,1.7599714872837067,0.889489562367767,0.4052790797352791
H3_256C_pruned30_Physical_pruning,2738521,10.497,0.2428,0.2422,2.3605186593532563,0.9303825584157585,0.3209865028262138
H3_256C_pruned50_Mask_pruning,3555649,13.616,0.2527,0.2521,2.1689421644210816,0.9227308683833021,0.34133961391448975
H3_512C_pruned50_Mask_pruning,13926017,53.175,0.3046,0.304,2.570052051782608,0.9425786565727208,0.27810901352763173
H3_512C_pruned30_Physical_pruning,10634609,40.619,0.2601,0.2595,2.4567640233039856,0.9361698322768884,0.3197236224412918
H3_128C_pruned50_Physical_pruning,582725,2.274,0.2352,0.2346,1.9124613020420074,0.900331206679851,0.396358488202095
H3_256C_pruned50_Physical_pruning,2183689,8.382,0.2305,0.2299,2.272066751241684,0.9283837335300966,0.3249854809045792
H3_128C_pruned70_Mask_pruning,925985,3.583,0.2445,0.2439,1.6492562408447267,0.8771369043346335,0.41506945103406906
H3_256C_pruned70_Mask_pruning,3555649,13.616,0.2537,0.2532,1.944684173822403,0.9062561317175852,0.37000209993124006
H3_512C_pruned50_Physical_pruning,8440337,32.25,0.2315,0.2309,2.541214374780655,0.9435188903169942,0.27672452422976496
H3_512C_pruned70_Mask_pruning,13926017,53.175,0.303,0.3024,2.308524255990982,0.9318821745417087,0.3078640311062336
H3_256C_pruned70_Physical_pruning,1628857,6.265,0.2221,0.2215,2.0882022340297697,0.9186227901598718,0.3413169282078743
H3_128C_pruned70_Physical_pruning,445421,1.75,0.2315,0.2309,1.8423844685554505,0.8975130168614983,0.402092178106308
H4_128C_pruned30_int8_Mask_pruning_resblocks_range_3_8,926129,3.2,0.2107,0.2101,1.7538031992912293,0.8931714954504221,0.5276591972708702
H4_256C_pruned30_int8_Mask_pruning_resblocks_range_3_8,3555793,11.861,0.2122,0.2116,2.2343121762275695,0.911246197546047,0.6642972787022591
H3_512C_pruned70_Physical_pruning,6246065,23.878,0.2091,0.2085,2.469338623046875,0.936735804956902,0.3159286067187786
H4_512C_pruned30_int8_Mask_pruning_resblocks_range_3_8,13926161,45.91,0.2463,0.2457,2.1879719610214234,0.9124007278918975,0.9896313391923904
H4_256C_pruned30_int8_Physical_pruning_resblocks_range_3_8,2738665,9.293,0.2055,0.2049,2.175376404285431,0.9218353999838301,0.4814161278605461
H4_128C_pruned30_int8_Physical_pruning_resblocks_range_3_8,720173,2.556,0.2048,0.2042,1.8529460854530335,0.9052488670269684,0.5173897105455398
H4_128C_pruned50_int8_Mask_pruning_resblocks_range_3_8,926129,3.2,0.2087,0.2081,1.6607644407749176,0.8746302361025651,0.5689935346245766
H4_256C_pruned50_int8_Mask_pruning_resblocks_range_3_8,3555793,11.861,0.2112,0.2106,2.0568904395103456,0.8996033514916905,0.9090312525629998
H4_512C_pruned30_int8_Physical_pruning_resblocks_range_3_8,10634753,35.537,0.219,0.2185,2.397904802083969,0.9341059899217199,0.3400990137457848
H4_256C_pruned50_int8_Physical_pruning_resblocks_range_3_8,2183833,7.543,0.1969,0.1963,2.1294411900043486,0.9212631755572134,0.45714115917682646
H4_128C_pruned70_int8_Mask_pruning_resblocks_range_3_8,926129,3.2,0.2084,0.2078,1.4897054069042206,0.854447439623774,0.6726734278798103
H4_128C_pruned50_int8_Physical_pruning_resblocks_range_3_8,582869,2.118,0.2044,0.2039,1.70138756108284,0.8856893572732276,0.6524089056253434
H4_512C_pruned50_int8_Mask_pruning_resblocks_range_3_8,13926161,45.91,0.247,0.2464,2.347213533401489,0.9253824893772482,0.8080403968691826
H4_256C_pruned70_int8_Mask_pruning_resblocks_range_3_8,3555793,11.861,0.214,0.2134,1.8657974488735198,0.8914698820918041,0.7123489978313446
H4_512C_pruned50_int8_Physical_pruning_resblocks_range_3_8,8440481,28.662,0.1953,0.1947,2.4349554698467255,0.93871601378489,0.3460060088634491
H4_256C_pruned70_int8_Physical_pruning_resblocks_range_3_8,1629001,5.792,0.1899,0.1893,2.0145633006095887,0.9139239456852333,0.41581520599126814
