experiment_name,num_params,model_size_mb,avg_rtf,avg_generator_rtf,pesq,stoi,mel_l1
H1_512C_baseline,13936130,53.239,0.2928,0.2905,2.771301281452179,0.9598698054320141,0.20455532446503638
H2_512C_quantized_resblocks_range_3_8,13926161,45.91,0.1575,0.1567,2.6318930983543396,0.9513756176803634,0.2682345017790794
H3_512C_pruned30_Mask_pruning,13926017,53.175,0.2868,0.2859,2.2249565064907073,0.9320530372718402,0.30063446909189223
H3_512C_pruned50_Mask_pruning,13926017,53.175,0.2873,0.2865,2.197063720226288,0.9415382207674042,0.26950416564941404
H3_512C_pruned70_Mask_pruning,13926017,53.175,0.2872,0.2863,2.0108864426612856,0.9293903514007125,0.29989704191684724
H4_512C_pruned30_int8_Mask_pruning_resblocks_range_3_8,13926161,45.91,0.1572,0.1564,1.795193177461624,0.8877994457432047,1.3816219031810761
H4_512C_pruned50_int8_Mask_pruning_resblocks_range_3_8,13926161,45.91,0.1565,0.1558,1.9133060932159425,0.9112502989407949,1.028773957490921
H4_512C_pruned70_int8_Mask_pruning_resblocks_range_3_8,13926161,45.91,0.1568,0.156,1.9271439611911774,0.9100805452687479,1.2050990223884583
H2_512C_quantized_resblocks_range_2_9,13926209,33.53,0.1461,0.1453,2.4140503764152528,0.9488213486337583,0.3199668347835541
H2_512C_quantized_resblocks_range_1_10,13926257,25.579,0.136,0.1352,2.1189946234226227,0.9456912158120987,0.43987962901592254
H4_512C_pruned30_int8_Mask_pruning_resblocks_range_2_9,13926209,33.53,0.1506,0.1497,1.2243061065673828,0.8257133204424519,1.1246617197990418
H4_512C_pruned30_int8_Mask_pruning_resblocks_range_1_10,13926257,25.579,0.1387,0.138,1.0609429776668549,0.45762569679714177,1.716133862733841
H2_512C_quantized_resblocks,13926423,22.09,0.1373,0.1365,1.1239480376243591,0.7990000734990866,0.9959452718496322
H2_512C_quantized_all,13926425,13.661,0.1422,0.1414,1.1025881111621856,0.7912697935407008,1.032461267709732
H2_512C_quantized_no_output,13926425,13.661,0.1425,0.1417,1.1118707239627839,0.7907739310344779,0.965253159403801
H4_512C_pruned50_int8_Mask_pruning_resblocks_range_2_9,13926209,33.53,0.1484,0.1477,1.313353282213211,0.8584266504882578,0.8002423495054245
H2_512C_quantized_no_upsample,13926425,21.278,0.1333,0.1325,1.122383064031601,0.8053597424613047,1.0338218450546264
H4_512C_pruned50_int8_Mask_pruning_resblocks_range_1_10,13926257,25.579,0.1388,0.1381,1.4642371773719787,0.362987118624661,1.9142911791801454
H4_512C_pruned70_int8_Mask_pruning_resblocks_range_2_9,13926209,33.53,0.1448,0.144,1.3786720931529999,0.8477176552065713,1.5205110669136048
H4_512C_pruned70_int8_Mask_pruning_resblocks_range_1_10,13926257,25.579,0.1356,0.1349,1.0427092254161834,0.4534104781131171,2.16441867351532
H1_256C_baseline,3560706,13.66,0.2662,0.2648,2.5559239029884337,0.9475824507341104,0.25174679085612295
H2_256C_quantized_resblocks_range_3_8,3555793,11.861,0.0569,0.0561,2.4085971236228945,0.9424080066648571,0.27933783531188966
H2_256C_quantized_resblocks_range_2_9,3555841,8.788,0.0527,0.052,2.302878534793854,0.9412999533024458,0.32653802037239077
H2_256C_quantized_resblocks_range_1_10,3555889,6.823,0.0489,0.0482,1.7510748565196992,0.9170966153543467,0.5954654529690743
H3_256C_pruned30_Mask_pruning,3555649,13.616,0.2682,0.2674,2.025317460298538,0.9194195343280865,0.3149611219763756
H4_256C_pruned30_int8_Mask_pruning_resblocks_range_2_9,3555841,8.788,0.054,0.0533,1.650384545326233,0.8792694708454828,0.7544769942760468
H2_256C_quantized_resblocks,3556055,5.996,0.0554,0.0547,1.1111103177070618,0.8030357828956994,1.3399799048900605
H3_256C_pruned50_Mask_pruning,3555649,13.616,0.2677,0.2668,1.8819458067417145,0.9192333521373278,0.33026972860097886
H4_256C_pruned30_int8_Mask_pruning_resblocks_range_1_10,3555889,6.823,0.0493,0.0485,1.0480787575244903,0.6303195539873461,1.596995973587036
H2_256C_quantized_no_upsample,3556057,5.592,0.0534,0.0526,1.10536071062088,0.8011189565448058,1.4013524770736694
H2_256C_quantized_no_output,3556057,3.687,0.0546,0.0538,1.109299862384796,0.8068619893302594,1.353691852092743
H3_256C_pruned70_Mask_pruning,3555649,13.616,0.2695,0.2687,1.719282853603363,0.9014823050349741,0.36562027484178544
H4_256C_pruned50_int8_Mask_pruning_resblocks_range_2_9,3555841,8.788,0.0528,0.052,1.4158260941505432,0.8485323003378978,1.1118632912635804
H2_256C_quantized_all,3556057,3.688,0.0532,0.0524,1.1057345807552337,0.8043329245896744,1.414197415113449
H4_256C_pruned50_int8_Mask_pruning_resblocks_range_1_10,3555889,6.823,0.0494,0.0486,1.1025248050689698,0.4478941463757232,1.8375176072120667
H4_256C_pruned30_int8_Mask_pruning_resblocks_range_3_8,3555793,11.861,0.0577,0.057,2.097884637117386,0.9085208700692103,0.5822718679904938
H4_256C_pruned70_int8_Mask_pruning_resblocks_range_2_9,3555841,8.788,0.0535,0.0527,1.3823910534381867,0.8427671666292277,1.375921905040741
H1_128C_baseline,928514,3.617,0.2606,0.2598,2.241318243741989,0.9328082269462469,0.3019931137561798
H4_256C_pruned70_int8_Mask_pruning_resblocks_range_1_10,3555889,6.823,0.0487,0.0479,1.2341706871986389,0.47906718389831005,1.9416907906532288
H4_256C_pruned50_int8_Mask_pruning_resblocks_range_3_8,3555793,11.861,0.0564,0.0557,1.884032130241394,0.9004222742756373,0.8721516847610473
