comparison,experiment_name,reference,channel,pruning_pct,size_reduction_MB,size_reduction_%,generator_RTF_reduction,generator_RTF_reduction_%,PESQ_change,PESQ_change_%,STOI_change,STOI_change_%
Channel scaling (vs H1 512C),H1_512C_baseline,H1_512C_baseline,512C,,0.000,0.0,0.0000,0.0,0.000,0.0,0.0000,0.00
Channel scaling (vs H1 512C),H1_256C_baseline,H1_512C_baseline,256C,,39.579,74.3,0.0504,16.3,-0.229,-7.5,-0.0101,-1.05
Channel scaling (vs H1 512C),H1_128C_baseline,H1_512C_baseline,128C,,49.622,93.2,0.0635,20.6,-0.622,-20.4,-0.0282,-2.93
H2 quantization 3-8 (vs same-channel H1),H2_512C_quantized_resblocks_range_3_8,H1_512C_baseline,512C,,7.329,13.8,0.0594,19.3,-0.082,-2.7,-0.0035,-0.36
H2 quantization 3-8 (vs same-channel H1),H2_256C_quantized_resblocks_range_3_8,H1_256C_baseline,256C,,1.799,13.2,0.0471,18.3,-0.148,-5.3,-0.0063,-0.67
H2 quantization 3-8 (vs same-channel H1),H2_128C_quantized_resblocks_range_3_8,H1_128C_baseline,128C,,0.417,11.5,0.0380,15.5,-0.574,-23.7,-0.0292,-3.13
H3 physical pruning (vs same-channel H1),H3_512C_pruned30_Physical_pruning,H1_512C_baseline,512C,30.0,12.620,23.7,0.0489,15.9,-0.588,-19.3,-0.0253,-2.64
H3 physical pruning (vs same-channel H1),H3_512C_pruned50_Physical_pruning,H1_512C_baseline,512C,50.0,20.989,39.4,0.0775,25.1,-0.503,-16.5,-0.0180,-1.87
H3 physical pruning (vs same-channel H1),H3_512C_pruned70_Physical_pruning,H1_512C_baseline,512C,70.0,29.361,55.1,0.0999,32.4,-0.575,-18.9,-0.0248,-2.58
H3 physical pruning (vs same-channel H1),H3_256C_pruned30_Physical_pruning,H1_256C_baseline,256C,30.0,3.163,23.2,0.0158,6.1,-0.455,-16.2,-0.0211,-2.21
H3 physical pruning (vs same-channel H1),H3_256C_pruned50_Physical_pruning,H1_256C_baseline,256C,50.0,5.278,38.6,0.0281,10.9,-0.543,-19.3,-0.0231,-2.42
H3 physical pruning (vs same-channel H1),H3_256C_pruned70_Physical_pruning,H1_256C_baseline,256C,70.0,7.395,54.1,0.0365,14.1,-0.727,-25.8,-0.0328,-3.45
H3 physical pruning (vs same-channel H1),H3_128C_pruned30_Physical_pruning,H1_128C_baseline,128C,30.0,0.820,22.7,0.0065,2.7,-0.458,-18.9,-0.0215,-2.30
H3 physical pruning (vs same-channel H1),H3_128C_pruned50_Physical_pruning,H1_128C_baseline,128C,50.0,1.343,37.1,0.0103,4.2,-0.510,-21.1,-0.0330,-3.53
H3 physical pruning (vs same-channel H1),H3_128C_pruned70_Physical_pruning,H1_128C_baseline,128C,70.0,1.867,51.6,0.0140,5.7,-0.580,-23.9,-0.0358,-3.83
H4 pruning + quantization (vs same-channel H1),H4_512C_pruned30_int8_Physical_pruning_resblocks_range_3_8,H1_512C_baseline,512C,30.0,17.702,33.3,0.0899,29.2,-0.647,-21.2,-0.0274,-2.85
H4 pruning + quantization (vs same-channel H1),H4_512C_pruned50_int8_Physical_pruning_resblocks_range_3_8,H1_512C_baseline,512C,50.0,24.577,46.2,0.1137,36.9,-0.610,-20.0,-0.0228,-2.37
H4 pruning + quantization (vs same-channel H1),H4_512C_pruned70_int8_Physical_pruning_resblocks_range_3_8,H1_512C_baseline,512C,70.0,31.454,59.1,0.1299,42.1,-0.601,-19.8,-0.0264,-2.74
H4 pruning + quantization (vs same-channel H1),H4_256C_pruned30_int8_Physical_pruning_resblocks_range_3_8,H1_256C_baseline,256C,30.0,4.367,32.0,0.0531,20.6,-0.640,-22.7,-0.0296,-3.11
H4 pruning + quantization (vs same-channel H1),H4_256C_pruned50_int8_Physical_pruning_resblocks_range_3_8,H1_256C_baseline,256C,50.0,6.117,44.8,0.0617,23.9,-0.686,-24.4,-0.0302,-3.17
H4 pruning + quantization (vs same-channel H1),H4_256C_pruned70_int8_Physical_pruning_resblocks_range_3_8,H1_256C_baseline,256C,70.0,7.868,57.6,0.0687,26.6,-0.801,-28.4,-0.0375,-3.94
H4 pruning + quantization (vs same-channel H1),H4_128C_pruned30_int8_Physical_pruning_resblocks_range_3_8,H1_128C_baseline,128C,30.0,1.061,29.3,0.0407,16.6,-0.570,-23.5,-0.0280,-3.00
H4 pruning + quantization (vs same-channel H1),H4_128C_pruned50_int8_Physical_pruning_resblocks_range_3_8,H1_128C_baseline,128C,50.0,1.499,41.4,0.0410,16.7,-0.721,-29.8,-0.0476,-5.10
H4 pruning + quantization (vs same-channel H1),H4_128C_pruned70_int8_Physical_pruning_resblocks_range_3_8,H1_128C_baseline,128C,70.0,1.939,53.6,0.0426,17.4,-0.814,-33.6,-0.0514,-5.50
