layer,type_baseline,input_shape_baseline,output_shape_baseline,in_channels_baseline,out_channels_baseline,kernel_baseline,groups_baseline,parameters_baseline,MACs_baseline,misaligned_to_baseline,type_pruned,input_shape_pruned,output_shape_pruned,in_channels_pruned,out_channels_pruned,kernel_pruned,groups_pruned,parameters_pruned,MACs_pruned,misaligned_to_pruned,parameter_reduction_%,MAC_reduction_%
conv_post,Conv1d,"(1, 32, 25600)","(1, 1, 25600)",32,1,"(7,)",1,226,5734400,"8,16,32",Conv1d,"(1, 32, 25600)","(1, 1, 25600)",32,1,"(7,)",1,225,5734400,"8,16,32",0.44,0.0
conv_pre,Conv1d,"(1, 80, 100)","(1, 512, 100)",80,512,"(7,)",1,287744,28672000,32,Conv1d,"(1, 80, 100)","(1, 512, 100)",80,512,"(7,)",1,287232,28672000,32,0.18,0.0
resblocks.0.convs1.0,Conv1d,"(1, 256, 800)","(1, 256, 800)",256,256,"(3,)",1,197120,157286400,none,Conv1d,"(1, 256, 800)","(1, 77, 800)",256,77,"(3,)",1,59213,47308800,"8,16,32",69.96,69.92
resblocks.0.convs1.1,Conv1d,"(1, 256, 800)","(1, 256, 800)",256,256,"(3,)",1,197120,157286400,none,Conv1d,"(1, 256, 800)","(1, 77, 800)",256,77,"(3,)",1,59213,47308800,"8,16,32",69.96,69.92
resblocks.0.convs1.2,Conv1d,"(1, 256, 800)","(1, 256, 800)",256,256,"(3,)",1,197120,157286400,none,Conv1d,"(1, 256, 800)","(1, 77, 800)",256,77,"(3,)",1,59213,47308800,"8,16,32",69.96,69.92
resblocks.0.convs2.0,Conv1d,"(1, 256, 800)","(1, 256, 800)",256,256,"(3,)",1,197120,157286400,none,Conv1d,"(1, 77, 800)","(1, 256, 800)",77,256,"(3,)",1,59392,47308800,"8,16,32",69.87,69.92
resblocks.0.convs2.1,Conv1d,"(1, 256, 800)","(1, 256, 800)",256,256,"(3,)",1,197120,157286400,none,Conv1d,"(1, 77, 800)","(1, 256, 800)",77,256,"(3,)",1,59392,47308800,"8,16,32",69.87,69.92
resblocks.0.convs2.2,Conv1d,"(1, 256, 800)","(1, 256, 800)",256,256,"(3,)",1,197120,157286400,none,Conv1d,"(1, 77, 800)","(1, 256, 800)",77,256,"(3,)",1,59392,47308800,"8,16,32",69.87,69.92
resblocks.1.convs1.0,Conv1d,"(1, 256, 800)","(1, 256, 800)",256,256,"(7,)",1,459264,367001600,none,Conv1d,"(1, 256, 800)","(1, 77, 800)",256,77,"(7,)",1,138061,110387200,"8,16,32",69.94,69.92
resblocks.1.convs1.1,Conv1d,"(1, 256, 800)","(1, 256, 800)",256,256,"(7,)",1,459264,367001600,none,Conv1d,"(1, 256, 800)","(1, 77, 800)",256,77,"(7,)",1,138061,110387200,"8,16,32",69.94,69.92
resblocks.1.convs1.2,Conv1d,"(1, 256, 800)","(1, 256, 800)",256,256,"(7,)",1,459264,367001600,none,Conv1d,"(1, 256, 800)","(1, 77, 800)",256,77,"(7,)",1,138061,110387200,"8,16,32",69.94,69.92
resblocks.1.convs2.0,Conv1d,"(1, 256, 800)","(1, 256, 800)",256,256,"(7,)",1,459264,367001600,none,Conv1d,"(1, 77, 800)","(1, 256, 800)",77,256,"(7,)",1,138240,110387200,"8,16,32",69.9,69.92
resblocks.1.convs2.1,Conv1d,"(1, 256, 800)","(1, 256, 800)",256,256,"(7,)",1,459264,367001600,none,Conv1d,"(1, 77, 800)","(1, 256, 800)",77,256,"(7,)",1,138240,110387200,"8,16,32",69.9,69.92
resblocks.1.convs2.2,Conv1d,"(1, 256, 800)","(1, 256, 800)",256,256,"(7,)",1,459264,367001600,none,Conv1d,"(1, 77, 800)","(1, 256, 800)",77,256,"(7,)",1,138240,110387200,"8,16,32",69.9,69.92
resblocks.10.convs1.0,Conv1d,"(1, 32, 25600)","(1, 32, 25600)",32,32,"(7,)",1,7232,183500800,none,Conv1d,"(1, 32, 25600)","(1, 10, 25600)",32,10,"(7,)",1,2250,57344000,"8,16,32",68.89,68.75
